model,artifact,dataset,variable,metric,depth_m,value
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,10,0.12860995628628297
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,20,0.13543968282626564
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,30,0.16403684426438084
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,50,0.18611851319423808
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,75,0.20984277468359977
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,100,0.21125027642150612
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,125,0.21243443417227123
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,150,0.20684382186200578
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,200,0.17459504912454796
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,250,0.1266831651143036
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,300,0.0985798510200984
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,400,0.1176524556037557
non-CCM,cnn_100_300_55.h5,independent,temperature,NRMSE,500,0.16370295294447296
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,10,-0.18108000977731953
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,20,0.2446351519025317
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,30,0.23824226188751418
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,50,0.08423071834749729
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,75,-0.21131416672713343
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,100,-0.12677457523949176
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,125,-0.1244016418554903
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,150,-0.10759833416303621
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,200,-0.8554102024955221
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,250,-0.6638869469249611
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,300,-0.7827543820895027
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,400,-4.726618775428137
non-CCM,cnn_100_300_55.h5,independent,salinity,R2,500,-14.040816799766988
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,10,0.47056978814359496
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,20,0.3197231068859419
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,30,0.25957588566969164
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,50,0.19602871471600825
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,75,0.18425507532524188
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,100,0.15217364646366835
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,125,0.1254114745313485
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,150,0.08442490094688472
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,200,0.04691911095932197
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,250,0.027835933938073404
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,300,0.021157291192212078
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,400,0.020205954388153695
non-CCM,cnn_100_300_55.h5,independent,salinity,RMSE,500,0.020305993025012035
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,10,0.3185035710618985
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,20,0.22322023109895686
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,30,0.19148378219784384
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,50,0.14693115139687504
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,75,0.13633550068141123
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,100,0.11366610134944359
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,125,0.09032762123858784
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,150,0.05992863344591717
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,200,0.03488601369872918
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,250,0.02158506136340559
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,300,0.016785435709846967
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,400,0.01591660869108466
non-CCM,cnn_100_300_55.h5,independent,salinity,MAE,500,0.0160015228681847
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,10,0.21465345330116684
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,20,0.17172327527133924
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,30,0.1576341782024214
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,50,0.1627332767236367
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,75,0.19762675564145138
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,100,0.185193442919221
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,125,0.1781406967192946
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,150,0.1692526860952902
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,200,0.17067082151528457
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,250,0.16117825340185793
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,300,0.15816171734939524
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,400,0.21698700205350713
non-CCM,cnn_100_300_55.h5,independent,salinity,NRMSE,500,0.2935583872248803
